Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
126,40,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,124.0
174,40,20.5,1.9,6,25,0.1,250,5.0,5.0,1.25,0.4
128,22,20.5,8.4,6,25,0.1,250,1.0,5.0,1.25,3.0
96,22,21.1,8.7,6,25,0.101325,1250,15.0,1.0,1.25,0.7
78,22,21.1,1.7,8,30,0.101325,1825,60.0,2.0,1.65,3.88
204,40,27.6,8.4,6,25,0.1,7500,5.0,0.5,0.25,34.0
210,40,27.6,8.4,6,25,0.1,900,5.0,0.5,0.25,60.0
25,22,20.1,8.4,6,30,0.1,625,20.0,2.0,1.25,9.08
89,22,21.1,8.7,6,50,0.101325,2500,0.5,0.5,1.25,41.28
198,40,27.6,8.4,6,25,0.1,6250,5.0,0.2,1.25,74.0
36,22,20.1,8.4,6,30,0.1,1450,20.0,1.0,1.45,9.59
11,22,21.2,8.4,6,30,0.101325,6000,30.0,2.0,12.0,0.307
44,22,20.1,8.4,6,40,0.4,1450,20.0,3.0,4.35,19.62
19,22,20.1,8.4,6,20,0.1,1250,20.0,1.0,1.25,8.47
57,22,21.1,2.8,9,20,0.101325,625,20.0,2.0,1.25,7.11
80,22,20.5,1.9,6,25,0.101325,250,30.0,5.0,1.25,0.246
60,22,21.1,2.8,9,50,0.101325,625,20.0,2.0,1.25,2.47
24,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,11.43
112,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,3.38
43,22,20.1,8.4,6,40,0.3,1450,20.0,3.0,4.35,13.84
159,40,23.1,8.4,6,25,0.101325,1250,10.0,0.5,0.625,66.7
189,40,17.7,8.4,4,25,0.1,6250,5.0,0.2,1.25,53.0
262,22,20.3,8.4,6,60,0.5,2000,20.0,5.0,10.0,0.89
69,22,21.1,1.7,8,30,0.101325,1425,20.0,2.0,1.25,9.49
98,22,21.1,8.7,6,50,0.101325,1250,10.0,1.0,1.25,0.6
52,22,21.1,1.7,8,20,0.101325,625,20.0,2.0,1.25,6.93
171,40,20.5,8.4,6,75,0.1,62500,5.0,0.02,1.25,100.0
99,22,21.1,8.7,6,50,0.101325,1250,15.0,1.0,1.25,0.6
232,40,19.0,2.9,2,25,0.1,12500,5.0,0.1,1.25,430.6
131,40,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,335.0
168,40,20.5,8.4,6,25,0.1,62500,5.0,0.02,1.25,550.0
200,40,27.6,8.4,6,25,0.1,900,5.0,0.5,0.25,60.0
146,22,21.1,8.7,6,75,0.1,1250,0.5,1.0,1.25,30.0
209,40,27.6,8.4,6,25,0.1,500,5.0,0.5,0.25,58.0
263,22,20.3,8.4,6,80,0.5,2000,20.0,5.0,10.0,0.22
260,22,20.3,8.4,6,60,0.3,2000,20.0,5.0,10.0,0.99
17,22,20.1,8.4,6,50,0.1,1250,20.0,1.0,1.25,9.03
211,40,27.6,8.4,6,25,0.1,1250,5.0,0.5,0.25,50.0
35,22,20.1,8.4,6,30,0.1,1450,10.0,1.0,1.45,11.03
93,22,21.1,8.7,6,25,0.101325,1250,3.0,1.0,1.25,0.54
150,22,21.1,2.8,9,25,0.2,2500,30.0,25.0,62.5,1.0
5,22,21.1,0.1,6,25,0.101325,250,1.0,5.0,1.25,2.532
169,40,20.5,8.4,6,40,0.1,62500,5.0,0.02,1.25,587.0
176,40,20.5,2.6,4,25,0.1,62500,5.0,0.02,1.25,714.0
87,22,21.1,8.7,6,25,0.101325,2500,0.5,0.5,1.25,35.76
59,22,21.1,2.8,9,40,0.101325,625,20.0,2.0,1.25,3.1
53,22,21.1,1.7,8,30,0.101325,625,20.0,2.0,1.25,8.25
214,40,27.6,8.4,6,25,0.1,7500,5.0,0.5,0.25,34.0
137,22,20.5,0.1,6,25,0.1,250,30.0,5.0,1.25,0.04
46,22,21.1,1.1,7,10,0.101325,625,20.0,2.0,1.25,3.46
3,22,21.1,4.7,6,25,0.101325,250,1.0,5.0,1.25,3.876
185,40,16.9,8.4,6,25,0.1,6250,5.0,0.2,1.25,40.0
250,40,20.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,224.4
187,40,18.8,8.4,6,25,0.1,6250,5.0,0.2,1.25,122.0
15,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,11.82
119,22,19.0,8.4,4,30,0.3,250,60.0,2.0,0.5,1.48
219,40,16.8,8.4,6,25,0.1,1250,5.0,0.5,0.625,50.4
138,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,45.0
140,22,18.8,8.7,6,25,0.1,250,5.0,5.0,1.25,5.0
37,22,20.1,8.4,6,30,0.1,1450,30.0,1.0,1.45,8.27
201,40,27.6,8.4,6,25,0.1,1250,5.0,0.5,0.25,50.0
173,40,20.5,8.4,4,25,0.1,62500,5.0,0.02,1.25,331.0
234,40,21.1,8.7,5,29,0.1,2500,5.0,0.5,1.25,125.2
56,22,21.1,2.8,9,10,0.101325,625,20.0,2.0,1.25,5.13
32,22,20.1,8.4,6,30,0.1,1650,20.0,1.0,1.65,9.63
197,40,25.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,41.0
47,22,21.1,1.1,7,20,0.101325,625,20.0,2.0,1.25,4.33
229,40,17.5,8.4,4,25,0.1,12500,5.0,0.1,1.25,19.0
235,72,25.5,8.4,6,80,0.4,2000,30.0,2.0,4.0,0.81
130,22,20.5,8.4,6,50,0.1,250,5.0,5.0,1.25,4.0
175,40,20.5,4.7,6,25,0.1,250,5.0,5.0,1.25,0.9
202,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,0.25,45.0
233,22,21.1,8.7,5,29,0.1,2500,5.0,0.5,1.25,9.7
227,40,16.8,8.4,6,25,0.1,12500,5.0,0.1,1.25,43.8
67,22,21.1,1.7,8,30,0.101325,1025,20.0,2.0,0.85,8.6
100,22,21.1,8.7,6,75,0.101325,1250,5.0,1.0,1.25,0.624
92,22,21.1,8.7,6,75,0.101325,1250,1.0,1.0,1.25,27.18
75,22,21.1,1.7,8,30,0.101325,1825,30.0,2.0,1.65,6.97
142,22,27.6,8.4,6,25,0.1,250,30.0,5.0,1.25,0.2
127,72,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,21.0
31,22,20.1,8.4,6,30,0.1,1450,20.0,1.0,1.45,9.66
242,72,21.1,9.1,3,80,0.4,2000,30.0,0.25,0.5,12.0
106,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,44.64
246,72,21.1,8.7,6,30,0.4,2000,30.0,0.5,1.0,56.0
161,40,18.6,0.1,8,25,0.101325,1250,10.0,0.5,0.625,23.7
13,22,21.2,8.4,6,-10,0.101325,2000,30.0,2.0,4.0,0.015
157,40,20.5,8.4,6,50,0.9,2500,30.0,0.5,1.25,44.6
82,22,20.5,6.3,6,25,0.101325,250,30.0,5.0,1.25,2.666
254,22,19.5,8.7,6,25,0.1,250,5.0,5.0,1.25,0.1
113,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,0.96
151,22,21.1,2.8,9,25,0.1,2500,30.0,20.0,50.0,0.56
70,22,21.1,1.7,8,30,0.101325,1625,20.0,2.0,1.45,11.06
193,40,23.1,8.4,6,25,0.1,6250,5.0,0.2,1.25,116.0
154,22,21.1,2.8,9,5,0.2,2500,30.0,20.0,50.0,0.915
172,40,20.5,8.4,6,25,0.1,62500,5.0,0.02,1.25,550.0
212,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,0.25,45.0
207,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,1.25,66.0
241,72,21.1,8.7,6,40,0.4,2000,30.0,0.5,1.0,24.0
163,40,20.5,8.4,6,25,0.1,62500,5.0,0.02,1.25,550.0
84,22,27.6,8.4,6,25,0.101325,250,30.0,5.0,1.25,0.186
208,40,27.6,8.4,6,25,0.1,1250,5.0,0.5,0.625,66.0
178,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,1.25,58.0
237,72,25.5,8.4,6,30,0.4,2000,30.0,0.5,1.0,6.0
68,22,21.1,1.7,8,30,0.101325,1225,20.0,2.0,1.05,9.21
40,22,20.1,8.4,6,30,0.1,1450,60.0,1.0,1.45,6.08
30,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,9.0
48,22,21.1,1.1,7,30,0.101325,625,20.0,2.0,1.25,3.82
264,22,20.3,8.4,6,60,1.0,2000,10.0,5.0,10.0,0.85
97,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,0.588
251,72,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,21.36
136,22,20.5,1.9,6,25,0.1,250,30.0,5.0,1.25,0.2
61,22,21.1,1.7,8,30,0.101325,2500,20.0,1.0,2.5,10.31
243,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,36.0
63,22,21.1,1.7,8,30,0.101325,833,20.0,3.0,2.5,10.36
91,22,21.1,8.7,6,75,0.101325,1250,0.5,1.0,1.25,29.64
114,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,2.84
39,22,20.1,8.4,6,30,0.1,1450,50.0,1.0,1.45,6.72
224,40,19.4,8.4,6,25,0.1,1250,5.0,0.5,0.625,93.0
253,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,1.0
116,22,21.2,8.4,6,30,0.101325,2000,60.0,5.0,10.0,4.5
184,40,23.1,8.4,6,25,0.1,6250,5.0,0.2,1.25,64.0
21,22,20.1,8.4,6,40,0.1,1250,20.0,1.0,1.25,9.1
122,22,19.0,8.4,5,50,0.3,250,60.0,2.0,0.5,0.5
108,22,18.8,8.7,6,50,0.101325,3125,5.0,0.4,1.25,5.31
132,72,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,29.0
88,22,21.1,8.7,6,25,0.101325,2500,1.0,0.5,1.25,33.96
149,22,21.1,8.7,6,90,0.1,625,1.0,2.0,1.25,13.8
33,22,20.1,8.4,6,30,0.1,1850,20.0,1.0,1.85,9.54
220,40,17.5,8.4,6,25,0.1,1250,5.0,0.5,0.625,31.6
182,40,34.0,3.0,4,25,0.1,12500,5.0,0.1,1.25,23.0
147,22,21.1,8.7,6,75,0.1,1250,1.0,1.0,1.25,27.0
190,40,16.8,8.4,6,25,0.1,6250,5.0,0.2,1.25,38.0
203,40,27.6,8.4,6,25,0.1,5000,5.0,0.5,0.25,39.0
51,22,21.1,1.7,8,10,0.101325,625,20.0,2.0,1.25,3.81
160,40,23.1,8.4,6,25,0.101325,1250,10.0,0.5,0.625,50.2
215,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,26.0
191,40,17.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,34.0
156,22,21.1,2.8,9,70,0.2,2500,30.0,20.0,50.0,1.24
85,22,20.5,8.4,4,25,0.101325,250,30.0,5.0,1.25,1.71
221,40,17.5,8.4,4,25,0.1,1250,5.0,0.5,0.625,22.0
104,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,0.828
101,22,21.1,8.7,6,75,0.101325,1250,10.0,1.0,1.25,0.732
10,22,21.2,8.4,6,30,0.101325,4000,30.0,2.0,8.0,0.291
180,40,20.7,8.4,6,25,0.1,12500,5.0,0.1,1.25,244.0
192,40,17.5,8.4,4,25,0.1,6250,5.0,0.2,1.25,26.0
120,22,19.0,8.4,4,50,0.3,250,60.0,2.15,0.54,1.27
28,22,20.1,8.4,6,30,0.1,250,20.0,5.0,1.25,5.35
249,72,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,28.8
236,72,25.5,8.4,6,30,0.4,2000,30.0,1.0,2.0,7.76
90,22,21.1,8.7,6,50,0.101325,2500,1.0,0.5,1.25,36.24
18,22,20.1,8.4,6,60,0.1,1250,20.0,1.0,1.25,7.8
79,22,20.5,0.1,6,25,0.101325,250,30.0,5.0,1.25,0.038
162,40,20.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,197.0
148,22,21.1,8.7,6,90,0.1,625,0.5,2.0,1.25,12.0
12,22,21.2,8.4,6,1,0.101325,2000,30.0,2.0,4.0,0.098
54,22,21.1,1.7,8,40,0.101325,625,20.0,2.0,1.25,1.45
205,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,26.0
41,22,20.1,8.4,6,40,0.1,1450,20.0,3.0,4.35,9.2
144,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,40.8
83,22,25.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,0.301
186,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,55.0
20,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,8.54
107,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,32.04
261,22,20.3,8.4,6,40,0.5,2000,20.0,5.0,10.0,0.54
165,40,20.5,8.4,6,25,0.1,312500,5.0,0.02,6.25,494.0
139,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,32.0
115,22,21.2,8.4,6,30,0.101325,2000,60.0,5.0,10.0,0.77
26,22,20.1,8.4,6,30,0.1,417,20.0,3.0,1.25,7.79
258,22,20.5,8.4,6,80,0.5,2000,20.0,5.0,10.0,1.24
170,40,20.5,8.4,6,50,0.1,62500,5.0,0.02,1.25,496.0
252,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,2.0
86,22,20.5,8.4,5,25,0.101325,250,30.0,5.0,1.25,2.468
72,22,21.1,1.7,8,30,0.101325,2025,20.0,2.0,1.85,10.35
143,22,21.1,8.7,6,25,0.1,2500,1.0,0.5,1.25,33.6
167,40,20.5,8.4,6,1,0.1,62500,5.0,0.02,1.25,295.0
238,72,23.5,9.1,3,80,0.4,2000,30.0,0.1,0.2,34.0
6,22,21.2,8.4,6,30,0.101325,2000,2.0,2.0,4.0,0.735
121,22,19.0,8.4,5,30,0.3,250,60.0,2.0,0.5,1.7
94,22,21.1,8.7,6,25,0.101325,1250,5.0,1.0,1.25,0.708
181,40,19.1,8.4,6,25,0.1,12500,5.0,0.1,1.25,271.0
124,22,20.5,8.4,5,50,0.3,250,60.0,1.94,0.49,2.42
55,22,21.1,1.7,8,50,0.101325,625,20.0,2.0,1.25,0.8
179,40,29.8,8.4,6,25,0.1,250,30.0,5.0,1.25,0.1
145,22,21.1,8.7,6,50,0.1,2500,1.0,0.5,1.25,36.0
50,22,21.1,1.1,7,50,0.101325,625,20.0,2.0,1.25,0.58
64,22,21.1,1.7,8,30,0.101325,625,20.0,4.0,2.5,9.93
228,40,17.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,30.5
177,40,25.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,40.0
195,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,152.0
155,22,21.1,2.8,9,50,0.2,2500,30.0,20.0,50.0,0.98
230,40,23.1,8.4,6,25,0.1,12500,5.0,0.1,1.25,116.0
125,22,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,3.0
226,40,19.4,2.9,2,25,0.1,1250,5.0,0.5,0.625,52.5
111,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,1.21
2,22,21.1,2.5,6,25,0.101325,250,1.0,5.0,1.25,3.504
8,22,21.2,8.4,6,30,0.101325,2000,30.0,2.0,4.0,0.401
102,22,21.1,8.7,6,75,0.101325,1250,15.0,1.0,1.25,0.524
34,22,20.1,8.4,6,30,0.1,2050,20.0,1.0,2.05,9.51
71,22,21.1,1.7,8,30,0.101325,1825,20.0,2.0,1.65,11.65
103,22,21.1,8.7,6,50,0.101325,3125,5.0,0.4,1.25,2.43
199,40,27.6,8.4,6,25,0.1,500,5.0,0.5,0.25,58.0
247,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,24.0
141,22,25.5,8.4,6,25,0.1,250,30.0,5.0,1.25,0.3
153,22,21.1,2.8,9,25,0.2,2500,30.0,20.0,50.0,1.0
22,22,20.1,8.4,6,50,0.1,1250,20.0,1.0,1.25,8.87
158,22,19.0,8.4,6,50,0.9,2500,30.0,0.5,1.25,21.4
45,22,20.1,8.4,6,40,0.5,1450,20.0,3.0,4.35,22.5
110,22,21.2,8.4,6,30,0.101325,2000,2.0,5.0,10.0,4.35
129,22,20.5,8.4,6,50,0.1,250,1.0,5.0,1.25,5.0
58,22,21.1,2.8,9,30,0.101325,625,20.0,2.0,1.25,4.8
117,22,19.0,7.1,4,30,0.3,250,60.0,1.1,0.28,6.33
